"a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","a13","a14"
1,2,4,4,0,0,1,2,"22.08","11.46",1585,0,100,1213
0,2,8,4,0,0,0,2,"22.67",7,165,0,160,1
0,1,4,4,0,0,1,2,"29.58","1.75","1.25",0,280,1
0,1,5,3,1,1,1,2,"21.67","11.5",0,11,0,1
1,2,6,4,1,1,0,2,"20.17","8.17","1.96",14,60,159
0,2,8,8,1,1,0,2,"15.83",585,"1.5",2,100,1
1,2,3,4,0,0,0,2,"17.42","6.5",125,0,60,101
0,2,11,8,1,1,0,2,"58.67","4.46","3.04",6,43,561
1,1,2,8,0,0,0,2,"27.83",1,3,0,176,538
0,2,4,8,1,1,1,2,"55.75","7.08","6.75",3,100,51
1,2,14,8,1,1,1,2,"33.5","1.75","4.5",4,253,858
1,2,11,8,1,1,1,2,"41.42",5,5,6,470,1
1,1,8,8,1,1,1,2,"20.67","1.25",1375,3,140,211
1,2,14,8,1,1,1,2,"34.92",5,"7.5",6,0,1001
1,2,8,4,0,0,1,2,"58.58","2.71",2415,0,320,1
1,2,4,4,0,0,0,2,"48.08","6.04","0.04",0,0,2691
1,2,9,4,1,1,1,2,"29.58","4.5","7.5",2,330,1
0,2,6,4,1,1,0,2,"18.92",9,"0.75",2,88,592
1,1,4,4,0,0,0,2,20,"1.25",125,0,140,5
0,2,11,4,1,1,0,2,"22.42",5665,2585,7,129,3258
0,2,6,4,0,0,0,2,"28.17",585,"0.04",0,260,1005
0,1,6,4,1,0,1,2,"19.17",585,585,0,160,1
1,2,2,4,0,0,0,2,"41.17",1335,165,0,168,1
1,2,4,4,1,0,0,2,"41.58","1.75","0.21",0,160,1
1,2,6,4,0,0,0,2,"19.5",9585,"0.79",0,80,351
1,2,13,8,1,1,1,2,"32.75","1.5","5.5",3,0,1
1,1,4,4,0,0,0,2,"22.5",125,125,0,200,71
1,1,8,8,1,1,1,2,"33.17","3.04","2.04",1,180,18028
0,2,8,4,1,1,0,2,"30.67",12,2,1,220,20
1,2,8,4,1,1,1,2,"23.08","2.5",1085,11,60,2185
1,2,8,8,1,1,1,2,27,"0.75","4.25",3,312,151
0,1,14,8,0,0,1,2,"20.42","10.5",0,0,154,33
1,1,8,8,1,0,1,2,"52.33",1375,9460,0,200,101
1,2,9,8,1,1,1,2,"23.08","11.5",2125,11,290,285
1,2,7,4,0,1,1,2,"42.83","1.25",13875,1,352,113
1,1,1,1,0,1,0,2,"74.83",19,"0.04",2,0,352
1,2,6,4,1,0,1,1,25,"12.5",3,0,20,1
1,2,9,4,1,1,1,2,"39.58",13915,8625,6,70,1
0,2,8,4,1,1,1,2,"47.75",8,7875,6,0,1261
1,2,13,4,1,0,0,2,"23.17",0,"0.08500",0,0,1
1,1,6,4,0,0,1,2,"22.58","1.5","0.54",0,120,68
1,2,14,8,1,0,0,2,"26.75",1125,"1.25",0,0,5299
1,2,8,4,1,1,1,2,"63.33","0.54",585,3,180,1
1,1,8,4,0,1,0,2,"23.75",415,"0.04",2,128,7
0,2,11,4,1,1,1,2,"20.75","10.25","0.71",2,49,1
0,1,8,4,0,0,0,2,"24.5","1.75",165,0,132,1
1,2,8,4,0,0,0,2,"16.17","0.04","0.04",0,0,1
0,1,10,8,0,0,0,2,"29.5",2,2,0,256,18
0,2,8,4,1,1,0,2,"52.83",15,"5.5",14,0,2201
1,2,4,4,0,0,1,2,"32.33","3.5","0.5",0,232,1
1,1,3,8,0,0,0,2,"21.08",4125,"0.04",0,140,101
1,1,4,4,0,0,0,2,"28.17",125,"0.08500",0,216,2101
1,1,8,4,0,0,1,2,19,"1.75",2335,0,112,7
1,1,11,8,0,1,1,2,"27.58","3.25",5085,2,369,2
1,2,9,4,1,1,1,2,"27.83","1.5",2,11,434,36
1,2,6,5,1,1,0,2,40,"6.5","3.5",1,0,501
0,2,3,8,0,0,0,2,"37.33","2.5","0.21",0,260,247
1,1,9,4,1,0,1,2,"42.5",4915,3165,0,52,1443
1,2,7,4,1,1,1,2,"56.75","12.25","1.25",4,200,1
1,2,3,5,0,0,1,2,"43.17",5,"2.25",0,141,1
0,2,9,4,0,1,1,2,"23.75","0.71","0.25",1,240,5
1,2,3,4,1,1,0,2,"18.5",2,"1.5",2,120,301
0,2,3,5,0,0,0,1,"40.83","3.5","0.5",0,1160,1
0,2,11,8,1,0,0,2,"24.5","0.5","1.5",0,280,825
1,2,14,8,1,1,0,2,42,"9.79","7.96",8,0,1
0,2,11,4,0,0,1,2,"19.5",165,"0.04",0,380,1
1,2,3,4,1,0,1,2,"21.5","11.5","0.5",0,100,69
1,2,1,1,0,1,0,2,"31.25",2835,0,5,176,147
1,2,13,8,1,1,1,2,"27.25",1585,1835,12,583,714
1,1,1,1,1,0,1,2,"48.75",26335,0,0,0,1
0,2,9,8,0,1,0,2,"30.42",1375,"0.04",3,0,34
1,2,9,4,0,0,0,2,"29.42","1.25","1.75",0,200,1
1,1,8,5,1,1,1,2,"28.25","5.04","1.5",8,144,8
1,2,10,9,1,1,0,2,"40.25","21.5",20,11,0,1201
1,2,11,4,0,0,0,2,"36.5","4.25","3.5",0,454,51
1,2,4,8,0,0,1,2,"25.58",335,"3.5",0,340,1
1,2,8,4,0,0,0,2,"29.83","3.5",165,0,216,1
1,2,4,4,0,1,0,1,"23.08",0,1,11,0,1
0,2,9,4,1,1,0,2,"32.17","1.46",1085,16,120,2080
1,2,13,4,1,1,0,2,"25.17","3.5",625,7,0,7060
0,2,1,1,0,1,0,2,"35.17","3.75",0,6,0,201
0,2,2,4,0,0,0,2,"18.58",10,415,0,80,43
1,2,3,5,0,0,0,2,"39.92",5,"0.21",0,550,1
1,2,8,4,0,0,1,1,"23.42",1,"0.5",0,280,1
1,2,8,4,0,0,0,3,"37.58",0,0,0,184,1
0,2,11,8,0,0,0,2,"24.75",13665,"1.5",0,280,2
0,2,3,5,1,1,1,2,47,13,5165,9,0,1
1,2,9,4,0,0,1,2,"34.17","5.25","0.08500",0,290,7
1,1,1,1,0,0,0,2,"22.17",585,0,0,100,1
1,2,4,8,0,0,1,1,"27.75","1.29","0.25",0,140,1
1,2,6,4,0,0,0,2,"42.75",4085,"0.04",0,108,101
1,2,2,4,0,0,0,2,"28.67","14.5",125,0,0,287
1,2,8,5,1,1,0,2,"36.25",5,"2.5",6,0,368
0,1,11,8,0,0,0,2,"18.17",10,165,0,340,1
1,2,9,4,0,0,0,2,"21.25","1.5","1.5",0,150,9
0,2,6,4,0,0,0,2,"38.92",1665,"0.25",0,0,391
1,1,7,4,0,0,0,2,"31.83","0.04","0.04",0,0,1
0,2,6,4,0,1,1,2,"17.33","9.5","1.75",10,0,11
0,2,11,4,1,1,0,2,"20.42",835,1585,1,0,1
0,2,8,4,0,0,0,2,"39.08",4,3,0,480,1
1,2,4,4,1,0,1,2,"38.67","0.21","0.08500",0,280,1
1,2,9,4,1,0,1,2,"27.67","13.75","5.75",0,487,501
1,1,13,4,1,1,0,2,"27.75",585,"0.25",2,260,501
1,1,1,1,0,1,0,2,19,0,0,4,45,2
0,2,14,8,1,0,1,2,25,875,"1.04",0,160,5861
1,2,14,8,1,1,0,2,"27.67",2,1,4,140,7545
1,2,6,4,0,0,0,2,"22.25",9,"0.08500",0,0,1
0,2,4,8,1,0,1,2,"49.83",13585,"8.5",0,0,1
1,2,8,4,0,0,1,2,"32.33","2.5","1.25",0,280,1
1,1,4,4,0,0,0,2,"38.25",10125,125,0,160,1
1,2,8,4,0,0,1,2,"47.33","6.5",1,0,0,229
1,1,3,8,1,1,1,2,"27.83",4,"5.75",2,75,1
0,2,6,4,1,1,0,2,"35.75",915,"0.75",4,0,1584
1,2,3,5,0,0,1,1,"33.58","0.25",4,0,420,1
1,1,7,5,1,1,1,2,"34.08","0.08","0.04",1,280,2001
0,2,13,8,1,1,1,2,"20.75",10335,335,1,80,51
1,2,14,4,1,1,1,2,"33.17",1,"0.75",7,340,4072
1,2,11,4,1,1,1,2,"22.75",11,"2.5",7,100,810
1,2,8,8,1,1,0,2,"48.75","8.5","12.5",9,181,1656
1,2,8,4,1,1,0,2,"40.58",5,5,7,0,3066
1,1,8,4,0,0,1,1,"20.67",835,2,0,240,1
0,2,1,1,0,0,0,2,"38.75","1.5",0,0,76,1
0,2,8,4,1,1,0,2,"57.08","19.5","5.5",7,0,3001
0,2,13,8,1,1,1,2,"31.25","3.75",625,9,181,1
1,2,9,4,0,1,0,2,22,"0.79","0.29",1,420,284
0,2,11,4,1,1,0,2,"58.33",10,4,14,0,1603
1,2,8,4,0,0,0,2,"28.92",375,"0.29",0,220,141
0,2,5,3,1,0,0,2,46,4,0,0,100,961
1,1,2,4,1,1,1,2,21,3,1085,8,160,2
0,2,6,4,1,1,1,2,"24.75","12.5","1.5",12,120,568
0,1,10,2,0,0,0,2,"20.83","0.5",1,0,260,1
1,1,1,1,0,0,0,2,"24.58","13.5",0,0,184,1
0,1,8,4,0,0,0,1,"26.5","2.71","0.08500",0,80,1
1,2,1,1,1,0,0,2,"40.92",835,0,0,130,2
0,2,8,4,0,0,0,2,"38.33",4415,125,0,160,1
1,2,1,1,0,1,0,2,"19.58",585,0,3,350,770
1,2,7,4,1,1,0,2,"39.25","9.5","6.5",14,240,4608
1,2,8,4,1,1,1,2,"25.75","0.5","1.46",5,312,1
0,2,8,4,1,1,1,2,"46.08",3,2375,8,396,4160
1,1,4,8,1,0,1,2,"19.67",10,835,0,140,1
0,1,1,1,0,0,0,2,"22.25","1.25","3.25",0,280,1
1,1,1,1,0,0,1,2,"18.83","3.54",0,0,180,2
1,2,14,8,1,1,1,2,"64.08",20,"17.5",9,0,1001
0,2,11,4,0,1,0,2,"16.5","1.25","0.25",1,108,99
0,2,10,9,1,1,0,2,"68.67",15,0,14,0,3377
1,2,10,9,1,1,1,2,"76.75","22.29","12.75",1,0,110
0,2,11,4,0,0,0,2,"15.92",2875,"0.08500",0,120,1
1,2,2,5,1,0,1,2,"34.83",4,"12.5",0,184,1
1,2,8,4,0,0,0,3,"23.17",0,0,0,184,1
1,2,8,4,1,0,1,2,"45.17","1.5","2.5",0,140,1
1,2,10,4,0,0,0,2,"15.17",7,1,0,600,1
1,1,8,4,0,1,0,2,"18.83",415,165,1,200,2
1,2,4,4,1,1,0,2,"52.5","6.5","6.29",15,0,11203
1,1,7,5,0,0,1,1,"19.17",0,0,0,500,2
1,2,11,7,0,0,0,2,18,165,"0.21",0,200,41
1,2,10,4,0,0,0,2,"37.5",835,"0.04",0,120,6
1,1,9,4,1,1,0,2,"22.67",1585,3085,6,80,1
1,2,14,5,0,0,1,2,"47.83",4165,"0.08500",0,520,1
1,2,8,4,0,0,0,2,"34.08","2.5",1,0,460,17
0,2,2,4,0,0,1,2,"33.08",1625,"0.54",0,0,1
1,1,8,4,1,1,1,2,"43.08",375,375,8,300,163
1,1,3,5,1,1,1,2,"34.5","4.04","8.5",7,195,1
1,2,3,5,1,0,0,2,"42.75",3,1,0,0,201
1,2,2,4,0,0,1,1,"18.25",165,"0.25",0,280,1
1,2,1,1,0,0,1,2,"23.08","2.5","0.08500",0,100,4209
0,1,14,4,0,0,0,2,"22.5",8460,"2.46",0,164,1
1,2,6,4,0,0,0,2,"17.92",205,"0.04",0,280,751
1,1,6,4,1,0,0,2,"18.42",10415,125,0,120,376
0,2,7,4,1,0,0,1,"27.67","1.5",2,0,368,1
0,1,8,4,1,1,1,2,"18.92","9.25",1,4,80,501
1,2,3,4,0,1,1,2,"22.67","0.75",1585,1,400,10
1,1,8,8,1,0,0,2,"62.5","12.75",5,0,112,1
0,2,11,4,1,1,1,2,"23.5",9,"8.5",5,120,1
1,2,14,8,1,0,1,2,"35.25",3165,"3.75",0,680,1
0,1,1,1,0,0,1,2,"56.83","4.25",5,0,0,5
0,2,1,1,0,0,1,1,"53.33",165,0,0,62,28
1,2,13,8,1,1,0,2,"41.17","4.04",7,8,320,1
1,2,11,8,1,0,1,2,"42.17","5.04","12.75",0,92,1
1,1,9,4,0,0,0,2,"41.17","1.25","0.25",0,0,196
0,2,4,5,1,1,1,2,"33.75","0.75",1,3,212,1
1,1,2,4,1,0,1,1,"24.33",6625,"5.5",0,100,1
1,1,9,4,1,0,1,2,"23.33",11625,835,0,160,301
1,2,13,8,0,0,1,1,"30.67","2.5","2.25",0,340,1
1,2,8,5,1,0,1,1,"37.17",4,5,0,280,1
1,2,9,4,0,0,0,2,"26.25","1.54",125,0,100,1
0,2,9,4,0,0,1,2,"29.75",665,"0.25",0,300,1
0,2,5,3,0,1,0,2,23,1835,0,1,200,54
1,2,4,4,0,0,1,2,"17.25",3,"0.04",0,160,41
1,2,6,4,1,1,1,2,"29.25","14.79","5.04",5,168,1
0,2,3,5,1,0,1,2,"28.58","3.54","0.5",0,171,1
1,2,8,4,0,0,0,3,"34.58",0,0,0,184,1
1,2,8,8,1,0,0,2,"23.42",585,"0.08500",0,180,1
1,2,8,4,1,1,0,2,25,"11.25","2.5",17,200,1209
0,2,11,4,1,1,0,2,"18.75","7.5","2.71",5,184,26727
1,2,11,4,0,1,0,2,"17.08","0.25",335,4,160,9
0,2,1,1,0,1,0,2,"16.08",335,0,1,160,127
1,2,6,4,0,1,1,2,"32.92","2.5","1.75",2,720,1
0,2,8,8,1,1,0,2,"20.33",10,1,4,50,1466
0,1,5,3,0,0,0,2,"21.75","1.75",0,0,160,1
1,2,12,8,1,0,1,2,"33.17","1.04","6.5",0,164,31286
0,2,8,8,1,0,1,2,"25.33",2085,"2.75",0,360,2
0,2,11,8,1,1,0,2,"24.75",3,1835,19,0,501
1,2,9,4,1,1,0,2,"30.83",0,"1.25",1,202,1
1,1,5,4,0,0,0,2,"20.75",5085,"0.29",0,140,185
0,1,4,4,0,1,0,2,"40.33",8125,165,2,184,19
1,2,8,8,0,1,1,2,"29.42","1.25","0.25",2,400,109
1,1,7,4,0,0,1,2,"40.92","0.5","0.5",0,130,1
0,2,4,4,1,1,0,2,"29.5","0.46","0.54",4,380,501
1,1,4,8,1,0,0,2,"54.42","0.5","3.96",0,180,315
1,1,8,4,0,0,1,2,34,"5.5","1.5",0,60,1
1,2,4,4,1,1,1,2,25,12,"2.25",2,120,6
0,1,1,1,0,0,1,2,"26.58","2.54",0,0,180,61
0,2,11,8,1,1,0,2,"33.08",4625,1625,2,0,1
1,2,8,4,0,0,0,3,"33.67",2165,"1.5",0,120,1
1,2,3,5,0,0,0,2,"36.17","5.5",5,0,210,688
1,2,4,4,0,0,0,2,"19.5","0.29","0.29",0,280,365
1,2,11,4,1,1,1,2,"24.17",875,4625,2,520,2001
0,2,8,5,1,1,1,2,"30.5","6.5",4,7,0,3066
1,2,8,4,0,0,0,2,20,7,"0.5",0,0,1
1,2,8,4,1,1,1,2,"25.33","0.58","0.29",7,96,5125
1,2,7,4,0,1,1,2,"29.58","4.75",2,1,460,69
1,2,3,5,1,0,0,2,"43.17","2.25","0.75",0,560,1
1,2,4,4,1,0,0,1,"28.75",1165,"0.5",0,280,1
1,1,3,5,0,0,0,2,"31.57",3,7,0,0,2
1,2,10,2,1,0,0,2,"20.25",9960,0,0,0,1
1,2,13,8,1,1,1,2,45,"8.5",14,1,88,2001
0,2,11,8,1,1,1,2,"22.83","2.29","2.29",7,140,2385
0,2,11,4,1,1,0,2,"20.67",3,165,3,100,7
1,2,9,4,0,1,1,2,"27.83","1.5","2.25",1,100,4
1,1,14,8,1,0,1,2,"40.92","2.25",10,0,176,1
1,1,8,4,1,1,0,2,"56.42",28,"28.5",40,0,16
0,2,1,1,1,1,0,2,"64.08",165,0,1,232,101
0,1,14,8,1,1,0,2,"22.42","11.25","0.75",4,0,322
0,1,3,5,0,0,0,2,"24.33","2.5","4.5",0,200,457
0,2,1,1,0,0,0,1,"69.5",6,0,0,0,1
1,2,4,4,0,0,1,2,"35.58","0.75","1.5",0,231,1
1,2,7,4,1,0,0,1,"48.33",12,16,0,110,1
0,1,10,9,1,0,0,2,"28.08",15,0,0,0,13213
1,2,4,4,1,1,0,2,"35.17","2.5","4.5",7,150,1271
1,2,8,4,1,0,0,2,"80.25","5.5","0.54",0,0,341
1,2,2,8,0,0,0,2,"29.25",13,"0.5",0,228,1
0,2,3,4,0,1,1,2,"16.92","0.5",165,6,240,36
0,2,6,4,0,1,1,2,16,165,1,2,320,2
1,2,1,1,1,1,1,2,"60.08","14.5",18,15,0,1001
1,2,4,8,1,1,1,2,28,2,4165,2,181,1
1,2,3,5,0,0,0,2,"41.5","1.54","3.5",0,216,1
1,2,6,4,0,0,1,2,"24.08",9,"0.25",0,0,1
1,1,6,4,0,0,1,2,"24.5",13335,"0.04",0,120,476
1,2,12,7,1,1,1,2,"34.75",15,5375,9,0,135
1,2,9,4,0,0,0,2,"33.67","1.25",1165,0,120,1
0,2,11,8,1,0,0,2,"40.83",10,"1.75",0,29,838
1,2,8,4,1,1,0,2,"20.42",1835,"2.25",1,100,151
1,1,2,4,0,0,1,2,"37.5",1125,"1.5",0,431,1
1,2,7,4,1,0,1,2,"48.5","4.25",125,0,225,1
1,2,7,4,0,0,1,1,23,"0.75","0.5",0,320,1
1,2,8,8,0,0,1,2,35,3375,"8.29",0,0,1
1,2,6,4,0,1,0,2,"16.33","2.75",665,1,80,22
1,2,11,8,1,0,0,2,"22.67","10.5",1335,0,100,1
0,2,8,4,0,0,1,2,"21.75","11.75","0.25",0,180,1
0,1,6,4,1,0,1,2,"25.08","2.54","0.25",0,370,1
1,1,9,4,1,1,0,2,"36.33",2125,"0.08500",1,50,1188
0,2,8,4,0,1,1,2,"28.58","3.75","0.25",1,40,155
1,2,8,4,0,1,1,2,"22.17",12125,3335,2,180,174
1,2,3,4,0,0,1,2,35,"2.5",1,0,210,1
1,2,6,4,0,0,1,2,"28.58",3625,"0.25",0,100,1
0,2,3,8,0,0,0,2,"19.17",5415,"0.29",0,80,485
1,2,8,4,1,0,0,1,"23.25",1,835,0,300,1
1,2,8,4,0,0,0,2,"16.5",125,165,0,132,1
0,2,11,4,0,1,0,2,"20.08",125,1,1,240,769
1,2,9,4,1,1,0,2,"22.33",11,2,1,80,279
1,1,3,5,0,0,1,2,34,5085,1085,0,480,1
0,2,3,5,1,0,1,2,"57.08",335,1,0,252,2198
1,2,7,4,1,0,0,1,"16.25",835,"0.08500",0,200,1
1,2,13,8,1,1,0,2,"32.83","2.5","2.75",6,160,2073
1,2,9,4,1,1,0,2,"48.25",25085,"1.75",3,120,15
1,2,3,5,0,0,1,2,"34.17","2.75","2.5",0,232,201
1,1,10,2,0,0,0,2,"18.33","1.21",0,0,100,1
1,2,7,4,1,0,0,1,"44.25","0.5","10.75",0,400,1
1,2,4,4,0,0,1,2,"38.92","1.75","0.5",0,300,3
1,1,6,4,0,0,1,2,"31.58","0.75","3.5",0,320,1
1,2,14,4,1,1,1,2,"25.08","1.71",1665,1,395,21
1,2,10,9,1,1,1,2,"65.42",11,20,7,22,1
1,2,8,5,1,0,0,2,"41.33",0,15,0,0,1
1,2,1,1,0,1,0,2,"31.25",1125,0,1,96,20
0,2,1,1,0,0,0,2,"36.75","4.71",0,0,160,1
1,2,10,5,1,0,1,1,"32.33","7.5",1585,0,420,1
0,2,1,1,0,1,1,2,"31.92",3125,"3.04",2,200,5
1,2,8,4,1,1,0,2,"24.83","2.75","2.25",6,184,601
1,1,14,4,1,1,1,2,"21.92","0.54","0.04",1,840,60
1,2,13,8,1,0,1,2,"34.25",3,7415,0,0,1
1,1,1,1,0,0,0,2,"51.83",3,"1.5",0,180,5
0,2,1,1,0,1,1,2,"31.57","1.5",0,2,200,106
1,2,8,4,0,1,0,2,"38.42",705,375,2,225,501
1,2,14,4,1,1,1,2,"39.17","1.71",125,5,480,1
1,2,8,7,0,1,1,2,"18.17","2.46","0.96",2,160,588
1,2,13,4,1,1,1,2,39,5,"3.5",10,0,1
1,2,8,4,0,0,1,2,20,11045,2,0,136,1
1,2,2,8,0,0,1,2,"32.75",2335,"5.75",0,292,1
1,2,2,4,0,0,0,2,"18.58","5.71","0.54",0,120,1
0,2,11,4,0,1,1,2,"15.83",7625,125,1,0,161
1,2,13,8,1,1,1,2,"39.33",5875,10,14,399,1
0,2,9,4,0,0,0,2,"19.58",665,1665,0,220,6
1,2,8,4,1,0,1,2,"21.33","10.5",3,0,0,1
0,2,8,4,0,1,1,2,"22.67","0.75",2,2,200,395
1,2,8,8,0,1,1,2,"25.67","3.25","2.29",1,416,22
1,1,10,8,0,0,0,2,"21.08",10085,"1.25",0,260,1
0,2,5,3,1,0,1,2,49,"1.5",0,0,100,28
1,2,11,4,1,1,0,2,"20.67","5.29",375,1,160,1
0,2,11,8,1,1,0,2,"19.67","0.21","0.29",11,80,100
1,2,2,8,1,0,1,2,"21.83","0.25",665,0,0,1
1,2,4,1,0,0,0,2,"26.83","0.54",0,0,100,1
0,2,13,4,1,0,1,2,"38.58",5,"13.5",0,980,1
0,2,6,4,1,1,1,2,"50.08","12.54","2.29",3,156,1
0,2,8,4,0,0,0,2,"15.75",375,1,0,120,19
0,2,8,5,1,1,0,2,"24.5","12.75","4.75",2,73,445
1,1,9,4,1,1,1,2,21,"4.79","2.25",1,80,301
1,2,13,4,1,0,0,2,"22.08",11,665,0,100,1
1,2,4,4,1,0,0,2,"18.08","5.5","0.5",0,80,1
1,1,4,4,1,1,1,2,"36.67",4415,"0.25",10,320,1
1,2,14,4,1,1,0,2,"38.17",10125,"2.5",6,520,197
1,2,4,4,0,0,1,2,"21.83","1.54","0.08500",0,356,1
0,2,3,5,0,0,1,2,"51.92","6.5",3085,0,73,1
1,2,3,4,0,0,0,2,"22.17","2.25",125,0,160,11
1,2,2,4,0,0,1,2,"52.42","1.5","3.75",0,0,351
0,2,6,4,1,1,0,2,"60.92",5,4,4,0,100
1,2,9,4,1,0,0,1,"20.17",5625,"1.71",0,120,1
1,2,8,5,1,0,1,2,"23.25",4,"0.25",0,160,1
1,1,9,4,0,0,1,2,"36.17","0.42","0.29",0,309,3
0,1,8,4,0,0,1,2,"42.25","1.75",0,0,150,2
1,2,3,8,0,0,1,2,"23.58",835,"0.08500",0,220,6
0,2,8,4,1,1,0,2,36,1,2,11,0,457
1,2,1,1,0,1,0,2,"39.58",5,0,2,17,2
0,1,8,8,1,0,0,2,"18.83",4415,3,0,240,1
1,2,6,4,1,0,1,2,"27.25",625,455,0,200,1
1,2,2,4,0,0,1,2,"32.42",3,165,0,120,1
1,1,13,4,1,0,1,2,"19.42","1.5",2,0,100,21
0,2,11,4,1,1,1,2,"22.58","10.75",415,5,0,561
1,2,11,4,1,1,0,2,"39.92","6.21","0.04",1,200,301
1,2,8,3,0,0,1,1,"22.67",165,"2.25",0,0,1
0,1,11,4,1,1,1,2,"23.42","0.79","1.5",2,80,401
